Data;Nuovi casi;Deceduti;Dimessi_Guariti;Ricoverati;Terapia intensiva
2020-03-10;1;0;1;2;0
2020-03-11;3;0;0;4;0
2020-03-12;5;0;0;4;0
2020-03-13;2;0;0;6;0
2020-03-14;5;0;0;5;1
2020-03-15;4;1;0;9;1
2020-03-16;0;0;0;9;2
2020-03-17;24;0;0;16;3
2020-03-18;1;0;1;15;4
2020-03-19;10;0;0;16;4
2020-03-20;16;0;0;18;5
2020-03-21;11;1;3;16;3
2020-03-22;4;1;0;19;4
2020-03-23;6;0;0;21;5
2020-03-24;3;1;0;24;5
2020-03-25;8;1;2;22;5
2020-03-26;18;0;0;25;6
2020-03-27;17;2;0;25;6
2020-03-28;15;1;0;28;6
2020-03-29;34;1;0;31;4
2020-03-30;1;0;0;33;5
2020-03-31;5;0;3;32;6
2020-04-01;6;1;1;34;6
2020-04-02;6;0;0;35;6
2020-04-03;11;1;0;35;4
2020-04-04;4;0;2;35;4
2020-04-05;15;0;1;35;4
2020-04-06;6;0;1;33;5
2020-04-07;0;0;0;35;4
2020-04-08;5;0;0;37;4
2020-04-09;2;0;2;37;4
2020-04-10;6;4;0;36;3
2020-04-11;4;0;0;37;4
2020-04-12;3;0;1;36;4
2020-04-13;0;0;5;32;3
2020-04-14;5;0;0;32;3
2020-04-15;8;0;5;30;3
2020-04-16;-7;0;0;30;4
2020-04-17;-29;0;0;32;3
2020-04-18;0;0;0;33;2
2020-04-19;1;0;0;33;2
2020-04-20;2;0;8;33;2
2020-04-21;0;0;9;31;2
2020-04-22;4;0;4;29;2
2020-04-23;1;0;0;28;2
2020-04-24;0;0;1;27;2
2020-04-25;1;0;3;31;2
2020-04-26;0;0;4;27;3
2020-04-27;1;0;6;24;3
2020-04-28;0;1;0;25;3
2020-04-29;1;0;7;24;3
2020-04-30;1;0;0;24;3
2020-05-01;1;0;3;22;1
2020-05-02;0;0;10;21;2
2020-05-03;0;0;3;19;2
2020-05-04;3;0;1;18;2
2020-05-05;1;0;9;18;2
2020-05-06;2;0;0;17;2
2020-05-07;1;0;1;16;2
2020-05-08;1;0;4;12;2
2020-05-09;3;0;5;12;2
2020-05-10;0;0;2;12;2
2020-05-11;0;0;8;11;1
2020-05-12;3;0;2;11;1
2020-05-13;1;0;0;11;1
2020-05-14;2;1;9;8;1
2020-05-15;0;0;1;7;1
2020-05-16;2;0;10;8;1
2020-05-17;0;0;29;8;1
2020-05-18;0;0;11;7;1
2020-05-19;1;0;4;5;1
2020-05-20;1;1;16;6;0
2020-05-21;0;0;0;6;0
2020-05-22;0;0;8;6;0
2020-05-23;0;0;4;5;0
2020-05-24;0;0;6;5;0
2020-05-25;0;0;1;5;0
2020-05-26;0;0;0;5;0
2020-05-27;1;0;11;4;0
2020-05-28;0;0;1;3;0
2020-05-29;0;1;1;1;0
2020-05-30;0;0;5;0;0
2020-05-31;0;0;1;0;0
2020-06-01;0;0;0;0;0
2020-06-02;0;0;8;0;0
2020-06-03;0;0;1;0;0
2020-06-04;0;0;1;3;0
2020-06-05;1;0;0;3;0
2020-06-06;0;0;0;3;0
2020-06-07;0;0;0;3;0
2020-06-08;0;0;0;3;0
2020-06-09;0;0;0;3;0
2020-06-10;0;0;0;3;0
2020-06-11;1;0;2;1;0
2020-06-12;0;0;2;1;0
2020-06-13;0;0;1;0;0
2020-06-14;0;0;0;0;0
2020-06-15;0;0;1;2;0
2020-06-16;0;0;0;2;0
2020-06-17;0;0;0;2;0
2020-06-18;2;0;0;2;0
2020-06-19;0;0;0;2;0
2020-06-20;2;0;2;1;0
2020-06-21;6;0;0;1;0
2020-06-22;1;0;0;2;0
2020-06-23;1;0;0;2;0
2020-06-24;0;0;0;2;0
2020-06-25;0;0;0;2;0
2020-06-26;3;0;0;2;0
2020-06-27;1;0;0;2;0
2020-06-28;0;0;1;2;0
2020-06-29;0;0;0;2;0
2020-06-30;1;0;0;2;0
2020-07-01;-1;0;0;2;0
2020-07-02;0;0;1;2;0
2020-07-03;0;0;0;2;0
2020-07-04;0;0;0;2;0
2020-07-05;0;0;0;2;0
2020-07-06;0;0;0;3;0
2020-07-07;1;0;0;3;0
2020-07-08;1;0;0;3;0
2020-07-09;0;0;0;3;0
2020-07-10;0;0;0;3;0
2020-07-11;2;0;0;3;0
2020-07-12;0;0;0;3;0
2020-07-13;0;0;0;3;0
2020-07-14;0;0;0;4;0
2020-07-15;0;0;0;4;0
2020-07-16;0;0;0;4;0
2020-07-17;0;0;0;4;0
2020-07-18;0;0;1;2;0
2020-07-19;0;0;2;2;0
2020-07-20;0;0;1;1;0
2020-07-21;0;0;0;1;0
2020-07-22;0;0;0;1;0
2020-07-23;1;0;0;1;0
2020-07-24;0;0;0;1;0
2020-07-25;0;0;0;1;0
2020-07-26;0;0;0;1;0
2020-07-27;0;0;0;1;0
2020-07-28;0;0;0;1;0
2020-07-29;0;0;0;1;0
2020-07-30;0;0;0;1;0
2020-07-31;0;0;0;1;0
2020-08-01;0;0;0;1;0
2020-08-02;0;0;0;1;0
2020-08-03;0;0;3;1;0
2020-08-04;1;0;1;2;0
2020-08-05;0;0;0;2;0
2020-08-06;0;0;4;2;0
2020-08-07;1;0;0;2;0
2020-08-08;2;0;0;2;0
2020-08-09;0;0;0;2;0
2020-08-10;1;0;0;2;0
2020-08-11;8;0;0;2;0
2020-08-12;3;0;0;2;0
2020-08-13;5;0;2;2;0
2020-08-14;14;0;3;1;0
2020-08-15;1;0;0;2;0
2020-08-16;2;0;0;2;0
2020-08-17;2;0;0;2;0
2020-08-18;2;0;0;2;0
2020-08-19;4;0;1;2;0
